Оператор	Область	Код DEF
"ЗАО ""Сотовая Связь Удмуртии"""	Ижевск Республика Удмуртия	950
"ЗАО ""Сотовая Связь Удмуртии"""	Ижевск Республика Удмуртия	951
"ЗАО ""Сотовая Связь Удмуртии"""	Ижевск Республика Удмуртия	952
"ЗАО ""Сотовая Связь Удмуртии"""	Ижевск Республика Удмуртия	953
"ОАО ""Вымпел-Коммуникации"""	Ижевск Республика Удмуртия	905
"ОАО ""Вымпел-Коммуникации"""	Ижевск Республика Удмуртия	906
"ОАО ""Вымпел-Коммуникации"""	Ижевск Республика Удмуртия	909
"ОАО ""Вымпел-Коммуникации"""	Ижевск Республика Удмуртия	963
"ОАО ""Вымпел-Коммуникации"""	Ижевск Республика Удмуртия	964
"ОАО ""Вымпел-Коммуникации"""	Ижевск Республика Удмуртия	965
"ОАО ""Вымпел-Коммуникации"""	Ижевск Республика Удмуртия	966
"ОАО ""Вымпел-Коммуникации"""	Ижевск Республика Удмуртия	967
"ОАО ""Мегафон"" Уральский филиал"	Ижевск Республика Удмуртия	922
"ОАО ""Мегафон"" Уральский филиал"	Ижевск Республика Удмуртия	929
"ОАО ""Мегафон"" Уральский филиал"	Ижевск Республика Удмуртия	932
"ОАО ""Мобильные ТелеСистемы"""	Ижевск Республика Удмуртия	912
"ОАО ""Мобильные ТелеСистемы"""	Ижевск Республика Удмуртия	919
"ОАО ""Мобильные ТелеСистемы"""	Ижевск Республика Удмуртия	982
"Филиал ЗАО ""Астарта"" в Удмуртской республике"	Ижевск Республика Удмуртия	901
"ЗАО ""Байкалвестком"""	Иркутск Иркутская область	901
"ЗАО ""Байкалвестком"""	Иркутск Иркутская область	902
"ЗАО ""Байкалвестком"""	Иркутск Иркутская область	904
"ЗАО ""Байкалвестком"""	Иркутск Иркутская область	908
"ЗАО ""Байкалвестком"""	Иркутск Иркутская область	950
"ЗАО ""Байкалвестком"""	Иркутск Иркутская область	952
"ОАО ""Вымпел-Коммуникации"""	Иркутск Иркутская область	964
"ОАО ""Мегафон"" 3G_Дальневосточный филиал"	Иркутск Иркутская область	934
"ОАО ""Мегафон"" Дальневосточный филиал"	Иркутск Иркутская область	924
